D1-1-in,D1-1-out,D1-2-in,D1-2-out,D3-1-in,D3-1-out,D3-2-in,D3-2-out,D4-1-in,D4-1-out,D4-2-in,D4-2-out
0.056861,0.00514,-0.1865455,5.90E-04,-0.1519475,9.30E-04,0.039636,0.00392,-0.2471405,0.01131,0.271638,0.00773
0.064781,0.00419,-0.178557,5.80E-04,-0.1441025,0.00103,0.0476375,0.00344,-0.2398655,0.01269,0.2789405,0.00697
0.072709,0.00356,-0.170554,6.10E-04,-0.13602,0.00111,0.0556385,0.00296,-0.2325965,0.0144,0.2862475,0.00646
0.080669,0.0028,-0.162549,6.40E-04,-0.127977,0.00118,0.063586,0.00258,-0.225225,0.01661,0.2935375,0.00602
0.0886475,0.00242,-0.1546985,7.00E-04,-0.1200125,0.00128,0.0715205,0.00229,-0.2178465,0.01839,0.3008215,0.00529
0.096635,0.00199,-0.146862,7.80E-04,-0.11204,0.0014,0.0794925,0.00203,-0.2105235,0.0209,0.3081035,0.00477
0.1046535,0.00167,-0.1388035,9.30E-04,-0.1040775,0.00154,0.0874655,0.00179,-0.2032215,0.02344,0.3154655,0.00485
0.1125745,0.00137,-0.130771,0.00103,-0.095912,0.00167,0.0954955,0.00163,-0.195918,0.02627,0.3228685,0.00485
0.1202975,0.00116,-0.1227855,0.00115,-0.0879725,0.00189,0.103501,0.00147,-0.1885615,0.02952,0.3301835,0.0046
0.128163,0.00109,-0.1148155,0.00132,-0.0800145,0.00211,0.111408,0.00129,-0.181223,0.03151,0.337496,0.00445
0.136189,8.60E-04,-0.106841,0.00159,-0.071771,0.00239,0.119114,0.00123,-0.1738905,0.03447,0.3448185,0.00442
0.144026,7.60E-04,-0.0986415,0.00186,-0.0637325,0.00272,0.1269215,0.00111,-0.166547,0.03684,0.3521625,0.00432
0.151695,6.50E-04,-0.090712,0.00223,-0.055755,0.00311,0.134979,0.00103,-0.159247,0.03898,0.359505,0.00444
0.1593535,6.30E-04,-0.082774,0.00263,-0.047758,0.00353,0.1429655,9.30E-04,-0.15204,0.03986,0.3668505,0.00448
0.167052,5.50E-04,-0.0745925,0.00341,-0.0398085,0.0041,0.150952,8.70E-04,-0.1448275,0.04328,0.3741915,0.00443
0.1747185,5.30E-04,-0.066558,0.00383,-0.031843,0.00475,0.158919,8.40E-04,-0.137413,0.04623,0.381412,0.00362
0.182382,5.00E-04,-0.058554,0.00524,-0.0238335,0.00553,0.166898,7.50E-04,-0.1299835,0.04928,0.388648,0.00478
0.1900245,4.90E-04,-0.050552,0.00567,-0.0157845,0.00642,0.174869,7.00E-04,-0.122459,0.05135,0.396064,0.00441
0.1977475,5.20E-04,-0.042566,0.00734,-0.007639,0.00736,0.182797,7.00E-04,-0.1148165,0.0521,0.403455,0.00386
0.2054995,4.20E-04,-0.0346075,0.0083,4.91E-04,0.0086,0.190749,6.40E-04,-0.107155,0.05477,0.410774,0.00426
